site,ppt_tot,pet_thorn_tot,AI_thorn_annual,pet_harg_tot,AI_harg_annual
Bears Ears,302.5171947479248,682.1168096394613,2.2548034342571546,1383.4008791884387,4.572966109715416
Claremont,440.49869298934937,867.0488458184714,1.9683346616409492,1538.8410425804184,3.4934066027243023
Death Valley,47.469698786735535,2531.622870317476,53.33134473195536,2201.6417537600164,46.37993941464026
El Centro,61.20999872684479,1272.315947412807,20.78608027898568,1783.968870655699,29.1450564901467
Flagstaff,508.72229862213135,573.4722551618094,1.1272795722048208,1387.8716276603266,2.728151746875184
Fresno,303.4701968431473,755.6717428115738,2.490101995755956,1429.0572654860903,4.709053081165391
Joshua Tree,159.35609662532806,755.906114658805,4.743502951355934,1519.2266990846592,9.533533584576979
Las Vegas,107.4039978981018,1307.612773233866,12.174712290267324,1705.9877438451897,15.883838378751266
Los Angeles,392.53199422359467,752.8216151411887,1.917860521484945,1117.1291831406766,2.845957016447265
NEON SRER,324.54509925842285,1032.4087575383792,3.181094892196513,1855.9516313888714,5.718624732370548
NYC,1243.1040878295898,767.3674436430147,0.6172994290307641,789.1582778751604,0.6348288012253256
Phoenix,202.9780968427658,1601.6687917772063,7.890845449289619,1882.5257974309234,9.274526792362213
Sacramento,498.79989260435104,691.3168277975445,1.3859602579062669,1292.816068377403,2.591853141000708
Salt Lake City,420.468297958374,735.0642174675721,1.748203660149291,1220.6856055678152,2.903157292701915
San Diego,257.81989747285843,813.4467918260707,3.155097026255334,908.1062263467167,3.5222503586726313
Tucson,289.128098487854,1195.1971933616353,4.133798131736561,1938.2139192366926,6.703651182204676
Yuma,76.78119969367981,1600.861443594154,20.849653951498855,2031.3317756778358,26.456108836302064
